"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","newp","Treatment","OTU","comp","Family_Genus"
"Otu0867",0.871913466178477,3.28041192328712,1.23967448024462,2.64618815307047,0.00814045239127383,0.0277163021893371,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Tolumonas","2.8e-02","BB","Otu0867","D36_BBvsControl","Aeromonadaceae Tolumonas"
"Otu00257",403.215008744163,1.98192864940633,0.641760328977875,3.08826918697658,0.00201326017050121,0.0119788980144822,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","1.2e-02","BB","Otu0025","D42_BBvsControl","Aerococcaceae Aerococcus"
"Otu00315",94.6473786361263,4.46289407884186,0.840408892811769,5.31038416777134,1.0939439405689e-07,2.36689688959453e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","0.0e+00","BB","Otu0031","D42_BBvsControl","Moraxellaceae Acinetobacter"
"Otu00348",20.9843127290334,7.77961450862199,1.85351847204232,4.19721444699169,2.70218040964096e-05,0.000360987790484685,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Bordetella","0.0e+00","BB","Otu0034","D42_BBvsControl","Burkholderiaceae Bordetella"
"Otu00387",14.1251090803547,5.61419172920438,0.920180088621887,6.10118801593774,1.05282975192454e-09,5.01146961916081e-08,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","uncultured","0.0e+00","BB","Otu0038","D42_BBvsControl","Veillonellaceae uncultured"
"Otu00426",11.0039499390764,2.93944553939268,0.664097807738094,4.42622382598187,9.58970208612986e-06,0.000152156606433261,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Agathobacter","0.0e+00","BB","Otu0042","D42_BBvsControl","Lachnospiraceae Agathobacter"
"Otu00465",11.8367339809429,2.61399363940124,0.680165497350111,3.84317294773878,0.000121453816422074,0.00125678296993277,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonellaceae_unclassified","1.0e-03","BB","Otu0046","D42_BBvsControl","Veillonellaceae Veillonellaceae_unclassified"
"Otu00477",134.671335422148,3.53372073450053,0.640268045028344,5.51912712486549,3.40687674739456e-08,9.00929628755451e-07,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1","0.0e+00","BB","Otu0047","D42_BBvsControl","Corynebacteriaceae Corynebacterium_1"
"Otu00534",20.8838006818503,1.14237932312982,0.393711542669217,2.90156421471647,0.00371304670386609,0.0198538642494506,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Mogibacterium","2.0e-02","BB","Otu0053","D42_BBvsControl","Family_XIII Mogibacterium"
"Otu00654",32.5889634257335,-0.73659960251059,0.221653114053409,-3.32320890530372,0.000889882449086473,0.00622917714360531,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum","6.0e-03","Control","Otu0065","D42_BBvsControl","Ruminococcaceae Subdoligranulum"
